Khu vực,Địa chỉ,Tên đơn vị,Công Lập,Tư Thục,Trường Chuyên?,Quận/Huyện,Địa chỉ đầy đủ,Mã BĐS,Tiêu đề,Giá (tỷ),Khoảng cách
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22492179,Nợ lô đề bán gấp căn hộ CC Tản Đà Court Q5 chỉ 1 tỷ 645 triệu DT:86m2,1.645,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Nguyễn Chí Thanh, Phường 9, Quận 5, TPHCM",22512020,[ Quận 5] Bán Chung cư 155 Nguyễn Chí Thanh ĐÃ CÓ SỔ HỒNG 60m2 2PN1WC,1.435,1.0599996317574616
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22413369,"Cần bán nhanh căn chung cư Phúc Thịnh, Quận 5, có nội thất, 70m2",1.58,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22386305,"Cần bán gấp CC Phúc Thịnh Q.5. DT 85m2, 2P, 2WC. Giá bán 2,8 tỷ.",2.8,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22456423,"Bán chung cư Tản Đà Court , 3.7 tỷ 75m2 2pn",3.7,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Trần Hưng Đạo, Phường 5, Quận 5, TPHCM",22620508,Bán nhà 4.5x11m sát mặt tiền Trần Hưng Đạo trung tâm Q5 chỉ 6 tỷ nhỏ,6.3,1.0167964902531847
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Nguyễn Trãi, Phường 3, Quận 5, TPHCM",22581650,"Sốc giảm 200tr nhà Nguyễn Trãi, phường 3 , quận 5. 90m2/2tỷ950 SHR",2.95,
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Hùng Vương, Phường 12, Quận 5, TPHCM",22378154,"Gấp lắm rồi! Bán CH Hùng Vương Plaza Q5 85m2 2pn 1,125ty sổ riêng NTCB",1.125,2.163712302103744
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Trần Hưng Đạo B, Phường 10, Quận 5, TPHCM",22627759,"Bán gấp căn hộ Q5, KD cho thuê 20tr/tháng, tặng cả nội thất",1.15,
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Nguyễn Chí Thanh, Phường 9, Quận 5, TPHCM",22383589,Chủ nhà cần bán căn hộ chung cư 155 Nguyễn Chí Thanh.,3.0,1.0599996317574616
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",21945905,"Căn hộ 2PN Everrich Infinity Q5, 80m2 - 1 tỷ 890 triệu, có sổ hồng",1.89,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Sư Vạn Hạnh, Phường 9, Quận 5, TPHCM",22503184,CHỈ 1 TỶ 810 TR- CC Sư Vạn Hạnh Q5 DTSD: 70m2 gồm 2PN2WC bao sang tên,1.81,0.8310358611442323
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22264135,Bán ch cc the everrich infinity-q5-1 tỷ 650tr-72m2-sr-view thoáng,1.65,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22627716,"Cô Năm gửi bán gấp nhà 60m2 đường Cao Đạt, P1, Q.5",0.83,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22496282,Bán căn hộ chung cư The Everrich Infinity Đường An Dương Vương Quận 5,2.075,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Phùng Hưng, Phường 14, Quận 5, TPHCM",22627762,Bán Nhà Riêng Đường Phùng Hưng Q5 58m2 Gần Đ.Hồng Bàng - Giá 880 Triệu,0.88,2.778234096945279
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22406318,💢CỰC PHẨM The Everrich Infinity Quận 5 giá chỉ 1tỷ 720 3PN 2WC 95m2,1.72,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22409716,"Cần bán gấp CC Phúc Thịnh Q.5. DT 68m2, 2P, 2WC. Giá bán 2,6 tỷ.",2.6,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22448505,"Bán gấp CC Phúc Thịnh Q.5. DT 65m2, 2P, 1WC.Giá bán 2,6 tỷ",2.599,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Trần Phú, Phường 4, Quận 5, TPHCM",22644006,"Cần bán gấp nhà Trần Phú, p4, Q.5, 52m2, giá 2tỷ900, Sổ sẵn.",2.9,0.22450449453962826
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22409758,"Cần bán căn hộ Tản Đà 𝐂𝐎𝐔𝐑𝐓 Quận 5, TP. Hồ Chí Minh ⚜️Diện tích:",1.77,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Bùi Hữu Nghĩa, Phường 7, Quận 5, TPHCM",22627677,"Qua Úc sinh sống bán nhà 64m2 1 trệt 2 lầu 980 triệu,bùi hữu",0.98,1.0511923711406232
