STT,Khu vực,Tên đơn vị,Liên cấp,Tên miền,Địa chỉ,Công Lập,Dân Lập,Tư Thục,Trường Chuyên?,2021_Điểm chuẩn nguyện vọng 1,2021_Điểm chuẩn nguyện vọng 2,2021_Điểm chuẩn nguyện vọng 3,2022_Điểm chuẩn nguyện vọng 1,2022_Điểm chuẩn nguyện vọng 2,2022_Điểm chuẩn nguyện vọng 3,2023_Điểm chuẩn nguyện vọng 1,2023_Điểm chuẩn nguyện vọng 2,2023_Điểm chuẩn nguyện vọng 3,2024_Điểm chuẩn nguyện vọng 1,2024_Điểm chuẩn nguyện vọng 2,2024_Điểm chuẩn nguyện vọng 3,Số HS đạt giải HSGQG 2024,Số HS đạt giải HSGQG 2023,Số HS đạt giải HSGQG 2022,2021_30/4_HCV,2021_30/4_HCB,2021_30/4_HCD,2021_30/4_Tổng HC,2023_30/4_HCV,2023_30/4_HCB,2023_30/4_HCD,2023_30/4_Tổng HC
20,Quận 5,trung học thực hành sài gòn,Không,http://thuchanhsaigon.edu.vn,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",Có,,,,22.9,23.2,24,21.75,22,22.75,19.25,19.75,20.5,21,21.5,22,0,0,0,,,,,,,,
21,Quận 5,trần hữu trang,Không,https://thpttranhuutrang.hcm.edu.vn,"276 Đ. Trần Hưng Đạo, Phường 11, Quận 5, Hồ Chí Minh",Có,,,,18.3,18.7,19,14.25,14.5,15.5,23.25,23.5,23.75,13.75,14,14.75,0,0,0,,,,,,,,
24,Quận 5,chuyên lê hồng phong,Không,http://www.thpt-lehongphong-tphcm.edu.vn,"235 Đ. Nguyễn Văn Cừ, Phường 4, Quận 5, Hồ Chí Minh",,,,Có,,,,,,,,,,,,,109,120,86,43,11,5,59,50,10,0,60
137,Quận 5,văn lang,,,"2 Tân Thành, Phường 12, Quận 5, Hồ Chí Minh",,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
138,Quận 5,quang trung nguyễn huệ,,,"223 Đ. Nguyễn Tri Phương, Phường 9, Quận 5, Hồ Chí Minh",,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
11,Thành phố Thủ Đức,thủ thiêm,Không,https://thptthuthiem.hcm.edu.vn,"1 Vũ Tông Phan, An Phú, Thủ Đức, Hồ Chí Minh",Có,,,,18.2,18.5,18.7,14.5,15.5,15.75,23.25,24.25,25,14,14.25,14.75,0,0,0,,,,,,,,
12,Thành phố Thủ Đức,giồng ông tố,Không,https://thptgiongongto.hcm.edu.vn,"10 Nguyễn Thị Định, Phường Bình Trưng Tây, Thủ Đức, Hồ Chí Minh",Có,,,,21,21.4,21.6,18.5,18.75,19,14.5,15.5,15.75,16.75,17.25,17.25,0,0,0,,,,,,,,
127,Thành phố Thủ Đức,chuyên trần đại nghĩa,,"2 / 6A Lương Định Của, Phường An Khánh, Thủ Đức, Hồ Chí Minh","2 / 6A Lương Định Của, Phường An Khánh, Thủ Đức, Hồ Chí Minh",,,,Có,,,,,,,,,,,,,28,35,20,15,12,8,35,21,9,12,42
237,Thành phố Thủ Đức,quốc tế thành phố hồ chí minh,,,"28 Võ Trường Toản, P. An Phú, TP. Thủ Đức",,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
239,Thành phố Thủ Đức,quốc tế thành phố hồ chí minh - học viện mỹ,,,"16 Võ Trường Toản, P. An Phú, TP. Thủ Đức",,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
