STT,Khu vực,Tên đơn vị,Tên đơn vị cũ,Liên cấp,Tên miền,Công Lập,Dân Lập,Tư Thục,Trường Chuyên?,2021_Điểm chuẩn nguyện vọng 1,2021_Điểm chuẩn nguyện vọng 2,2021_Điểm chuẩn nguyện vọng 3,2022_Điểm chuẩn nguyện vọng 1,2022_Điểm chuẩn nguyện vọng 2,2022_Điểm chuẩn nguyện vọng 3,2023_Điểm chuẩn nguyện vọng 1,2023_Điểm chuẩn nguyện vọng 2,2023_Điểm chuẩn nguyện vọng 3,2024_Điểm chuẩn nguyện vọng 1,2024_Điểm chuẩn nguyện vọng 2,2024_Điểm chuẩn nguyện vọng 3,Số HS đạt giải HSGQG 2024,Số HS đạt giải HSGQG 2023,Số HS đạt giải HSGQG 2022,2021_30/4_HCV,2021_30/4_HCB,2021_30/4_HCD,2021_30/4_Tổng HC,2023_30/4_HCV,2023_30/4_HCB,2023_30/4_HCD,2023_30/4_Tổng HC
83,Huyện Bình Chánh,Huyện Bình Chánh,Huyện Bình Chánh,Không,https://thptbinhchanh.hcm.edu.vn,Có,,,,17.6,18,18.4,12,12.5,13.25,12,12.5,13.25,13.5,14.25,14.5,0,0,0,,,,,,,,
84,Huyện Bình Chánh,Tân Túc,tân túc,Không,https://thpttantuc.hcm.edu.vn,Có,,,,18,18.3,18.6,12.75,13.25,13.75,12.75,13.25,13.75,14,14.75,15,0,0,0,,,,,,,,
85,Huyện Bình Chánh,Lê Minh Xuân,lê minh xuân,Không,http://thptleminhxuan.hcm.edu.vn,Có,,,,18.6,18.9,19.2,13.25,14,14.25,13.25,14,14.25,15,15.25,15.5,0,0,0,,,,,,,,
86,Huyện Bình Chánh,Đa Phước,đa phước,Không,http://thptdaphuoc.edu.vn,Có,,,,17,17.2,17.8,10.5,10.5,10.5,10.5,10.5,10.5,11.5,11.75,12.25,0,0,0,,,,,,,,
87,Huyện Bình Chánh,Năng Khiếu Tdtt Huyện Bình Chánh,năng khiếu tdtt Huyện Bình Chánh,Không,https://thptnangkhieutdttbinhchanh.hcm.edu.vn,Có,,,,17,17.2,17.6,11.5,12.75,13.5,11.5,12.75,13.5,14,14.5,14.5,0,0,0,,,,,,,,
88,Huyện Bình Chánh,Vĩnh Lộc B,vĩnh lộc b,Không,https://thptvinhlocb.hcm.edu.vn,Có,,,,18.8,19,19.8,14.25,15,15.25,14.25,15,15.25,15.75,15.75,16.25,0,0,0,,,,,,,,
89,Huyện Bình Chánh,Phong Phú,phong phú,Không,https://thptphongphu.hcm.edu.vn,Có,,,,15.5,15.6,15.8,11,11,11,11,11,11,12.5,13,13.25,0,0,0,,,,,,,,
247,Huyện Bình Chánh,Albert Einstein,albert einstein,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
248,Huyện Bình Chánh,Quốc Tế Bắc Mỹ,quốc tế bắc mỹ,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
90,Huyện Cần Giờ,Thcs-Thạnh An,thcs-thạnh an,Có,https://thcs-thptthanhan.hcm.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
91,Huyện Cần Giờ,An Nghĩa,an nghĩa,Không,https://thptannghia.hcm.edu.vn,Có,,,,15.3,15.5,15.8,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,0,0,0,,,,,,,,
92,Huyện Cần Giờ,Bình Khánh,bình khánh,Không,https://thptbinhkhanh.hcm.edu.vn,Có,,,,16,16.5,17,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,0,0,0,,,,,,,,
93,Huyện Cần Giờ,Cần Thạnh,cần thạnh,Không,https://thptcanthanh.hcm.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
101,Huyện Hóc Môn,Phạm Văn Sáng,phạm văn sáng,Không,https://thptphamvansang.hcm.edu.vn,Có,,,,21.3,21.5,22.2,16.25,17.5,17.75,16.25,17.5,17.75,16.75,17.25,17.5,0,0,0,,,,,,,,
102,Huyện Hóc Môn,Bà Điểm,bà điểm,Không,https://thptbadiem.hcm.edu.vn,Có,,,,23,23.3,23.5,18.75,19.25,19.5,18.75,19.25,19.5,18.5,18.75,19.5,0,0,0,,,,,,,,
103,Huyện Hóc Môn,Nguyễn Văn Cừ,nguyễn văn cừ,Không,http://thpt-nvc.edu.vn,Có,,,,20.2,20.4,20.8,15,15.75,16,15,15.75,16,16.5,16.5,16.75,0,0,0,,,,,,,,
104,Huyện Hóc Môn,Nguyễn Hữu Tiến,nguyễn hữu tiến,Không,https://thptnguyenhuutien.hcm.edu.vn,Có,,,,21.7,22,22.2,18,18.25,18.5,18,18.25,18.5,18,18.5,18.75,0,0,0,,,,,,,,
105,Huyện Hóc Môn,Lý Thường Kiệt,lý thường kiệt,Không,https://thptlythuongkiet.hcm.edu.vn,Có,,,,24.2,24.5,24.8,19.75,20.25,20.5,19.75,20.25,20.5,19.75,20.75,21,0,0,0,,,,,,,,
106,Huyện Hóc Môn,Hồ Thị Bi,hồ thị bi,Không,https://thpthothibi.hcm.edu.vn,Có,,,,21.4,21.9,22.4,16.5,17.25,17.5,16.5,17.25,17.5,17.5,18.25,18.25,0,0,0,,,,,,,,
107,Huyện Nhà Bè,Dương Văn Dương,dương văn dương,Không,https://thptduongvanduong.hcm.edu.vn,Có,,,,18.8,19,19.2,13,13.25,13.5,13,13.25,13.5,13,13.5,13.75,0,0,0,,,,,,,,
108,Huyện Nhà Bè,Long Thới,long thới,Không,https://thptlongthoi.hcm.edu.vn,Có,,,,18.9,19.3,19.5,12.75,13,13.25,12.75,13,13.25,12.25,12.25,12.5,0,0,0,,,,,,,,
109,Huyện Nhà Bè,Phước Kiển,phước kiển,Không,https://thptphuockien.hcm.edu.vn,Có,,,,17,17.3,17.6,11.25,11.5,12.25,11.25,11.5,12.25,12.75,13,13,0,0,0,,,,,,,,
94,Huyện Củ Chi,Huyện Củ Chi,Huyện Củ Chi,Không,https://thptcuchi.hcm.edu.vn,Có,,,,21.8,22,22.4,14.75,15.25,15.75,14.75,15.25,15.75,16.25,16.5,16.75,0,0,0,,,,,,,,
95,Huyện Củ Chi,Quang Trung,quang trung,Không,https://thptquangtrung.hcm.edu.vn,Có,,,,19.6,19.8,20.4,11.25,11.5,11.5,11.25,11.5,11.5,13,13.5,14,0,0,0,,,,,,,,
96,Huyện Củ Chi,An Nhơn Tây,an nhơn tây,Không,https://thptannhontay.hcm.edu.vn,Có,,,,19,19.2,19.4,10.5,10.75,11,10.5,10.75,11,11.5,12,13,0,0,0,,,,,,,,
97,Huyện Củ Chi,Trung Phú,trung phú,Không,https://thpttrungphu.hcm.edu.vn,Có,,,,20.5,21,21.5,14.75,15,15.25,14.75,15,15.25,15.5,16,16.5,0,0,0,,,,,,,,
98,Huyện Củ Chi,Trung Lập,trung lập,Không,https://thpttrunglap.hcm.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
99,Huyện Củ Chi,Phú Hòa,phú hòa,Không,https://thptphuhoa.hcm.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
100,Huyện Củ Chi,Tân Thông Hội,tân thông hội,Không,https://thpttanthonghoi.hcm.edu.vn,Có,,,,20.5,21,21.4,14,14.75,15,14,14.75,15,14.75,15.75,16.75,0,0,0,,,,,,,,
3,Quận 1,Phổ Thông Năng Khiếu Thể Thao Olympic,phổ thông năng khiếu thể thao olympic,Không,http://ptnangkhieuthethaoolympicqtd.hcm.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
4,Quận 1,Th - Thcs -Anh Quốc,th - thcs -anh quốc,Không,http://ththcsthptanhquoc.hcm.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
5,Quận 1,Lương Thế Vinh,lương thế vinh,Có,https://thptluongthevinh.hcm.edu.vn,Có,,,,23.8,24.2,24.6,20.25,20.75,21,18.5,18.75,19,20.5,21,21.25,0,0,0,,,,,,,,
6,Quận 1,Năng Khiếu Tdtt,năng khiếu tdtt,Có,https://thptnangkhieutdtt.hcm.edu.vn,Có,,,,18,18.2,19,13.5,14.5,15.5,13.5,14.5,15.5,13,13.5,14.5,0,0,0,,,,,,,,
7,Quận 1,Trần Đại Nghĩa,trần đại nghĩa,Có,http://trandainghia.edu.vn,Có,,,,,,,,,,,,,,,,28,35,20,15,12,8,35,21,9,12,42
8,Quận 1,Bùi Thị Xuân,bùi thị xuân,Không,https://thptbuithixuan.hcm.edu.vn,Có,,,,24.4,24.7,25.2,32,24.5,24.75,31.5,24.5,24.75,22.25,22.5,22.75,0,0,0,,,,,,,,
9,Quận 1,Trưng Vương,trưng vương,Không,https://thpttrungvuong.hcm.edu.vn,Có,,,,24.1,24.3,24.9,21.5,21.75,22,21.5,21.75,22,21,21.25,21.5,1,0,0,,,,,,,,
10,Quận 1,Ten Lơ Man,ten lơ man,Không,https://thpttenloman.hcm.edu.vn,Có,,,,21.5,21.7,21.8,18.25,19,20,18.25,19,20,18.25,18.5,19,0,0,0,,,,,,,,
121,Quận 1,Phân Hiệu Bổ Túc Văn Hóa - Nhạc Viện Tp.Hcm,phân hiệu bổ túc văn hóa - nhạc viện tp.hcm,Không,,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
128,Quận 1,Ernst Thälmann,ernst thälmann,,,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
130,Quận 1,Đăng Khoa,đăng khoa,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
162,Quận 1,Đông Đô,đông đô,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
163,Quận 1,Phan Hữu Ích,phan hữu ích,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
164,Quận 1,Sài Gòn,sài gòn,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
165,Quận 1,Vinschool,vinschool,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
166,Quận 1,Anh Quốc,anh quốc,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
167,Quận 1,Lam Sơn,lam sơn,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
231,Quận 1,Quốc Tế Á Châu,quốc tế á châu,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
234,Quận 1,Quốc Tế Á Châu,quốc tế á châu,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
47,Quận 10,Nguyễn An Ninh,nguyễn an ninh,Không,https://thptnguyenanninh.hcm.edu.vn,Có,,,,19.1,19.3,19.6,15,15.25,16,15,15.25,16,15.25,15.5,15.5,0,0,0,,,,,,,,
