Khu vực,Địa chỉ,Tên đơn vị,Quận/Huyện,Địa chỉ đầy đủ,Mã BĐS,Tiêu đề,Khoảng cách,Giá (tỷ)
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Tân Hương, Phường Tân Quý, Quận Tân Phú, TPHCM",22513477,✅Bán gấp căn hộ Tân Hương Tower quận Tân Phú 80m² 2PN giá 1tỷ375 SHR,5.294464,1.375
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Khuông Việt, Phường Phú Trung, Quận Tân Phú, TPHCM",22516968,"Bán căn hộ có sổ hồng sở hữu lâu dài, chung cư Khuông Việt 74m² 1tỷ405",5.819262,1.405
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, TPHCM",22500184,Bán căn hộ Richstar giá ngộp chỉ 2.7 tỷ,4.434509,2.7
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trương Vĩnh Ký, Phường Tân Sơn Nhì, Quận Tân Phú, TPHCM",22506342,"☘️Bán căn chung cư Gò Dầu 2 quận Tân Phú ☘️DT 52 m2, giá 1 tỷ 342",6.79382,1.342
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22506349,"🎄Đi định cư bán gấp căn hộ Lotus Gardwn, Tân Phú giá 1 tỷ 298 50m2🎄",5.357905,1.298
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Tân Hương, Phường Tân Quý, Quận Tân Phú, TPHCM",22516417,✅Bán gấp căn hộ Tân Hương Tower quận Tân Phú - DT 80m2 gồm 2PN-2WC,5.66816,1.375
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Khuông Việt, Phường Phú Trung, Quận Tân Phú, TPHCM",22516432,"Bán căn hộ mới 5 năm có sổ hồng sở hữu lâu dài, chung cư Khuông Việt",5.614664,1.405
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, TPHCM",22516434,Bán gấp căn hộ chung cư topaz garden có nội thất ở quận tân phú,6.02486,1.385
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",22507728,"Kệt tiền bán Celadon City Khu Ruby, Đường N1, P. Sơn Kỳ, Quận Tân Phú",5.703216,1.55
Quận Tân Phú,"Số 5 Thoại Ngọc Hầu, P. Hòa Thạnh, Q. Tân Phú, TP. HCM",thcs-trí đức,Quận Tân Phú,"Đường N1, Phường Sơn Kỳ, Quận Tân Phú, TPHCM",22511351,"Về quê sống bán căn hộ chung cư Celadon City, Tân Phú giá 1 tỷ 495",5.365643,1.495
